Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
91,Mikal Bridges,29,NYK,SF,12,12,34.8,5.8,12.0,.486,2.5,6.0,.417,3.3,6.0,.556,.590,1.4,1.7,.850,1.3,3.3,4.5,4.9,2.0,0.9,0.9,2.2,15.6,,bridgmi01
92,VJ Edgecombe,20,PHI,SG,12,12,37.3,5.8,14.1,.408,2.1,5.5,.379,3.7,8.6,.427,.482,2.0,2.6,.774,1.9,3.8,5.7,4.2,1.3,0.4,2.0,3.1,15.6,,edgecvj01
93,Cooper Flagg,19,DAL,PG,14,14,34.1,6.0,13.4,.447,1.1,3.9,.273,4.9,9.5,.519,.487,2.5,3.1,.795,1.1,5.6,6.7,3.2,1.4,0.8,2.3,2.4,15.6,,flaggco01
94,Jalen Green,23,PHO,SG,2,2,15.0,5.5,11.5,.478,3.0,7.0,.429,2.5,4.5,.556,.609,1.5,2.5,.600,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,15.5,,greenja05
95,Aaron Nesmith,26,IND,SF,11,11,30.5,4.9,13.4,.367,2.8,7.5,.373,2.1,5.8,.359,.473,2.8,3.5,.795,1.5,2.9,4.5,1.5,0.8,0.3,0.7,2.5,15.5,,nesmiaa01
96,Collin Sexton,27,CHO,SG,12,9,26.2,5.0,10.4,.480,1.6,3.7,.432,3.4,6.8,.506,.556,3.8,4.5,.852,0.3,2.1,2.3,5.0,0.8,0.0,3.0,2.4,15.4,,sextoco01
97,Matas Buzelis,21,CHI,PF,12,12,29.1,5.5,11.3,.485,1.8,4.6,.400,3.7,6.8,.543,.566,2.3,2.8,.848,1.2,4.6,5.8,1.2,0.8,1.1,2.0,3.4,15.2,,buzelma01
98,Nic Claxton,26,BRK,C,13,13,29.4,5.8,9.5,.610,0.0,0.5,.000,5.8,9.0,.641,.610,3.6,5.1,.712,2.8,4.2,7.0,3.9,0.8,1.4,1.3,2.7,15.2,,claxtni01
99,Ayo Dosunmu,26,CHI,SG,10,0,25.4,5.4,10.3,.524,1.9,4.1,.463,3.5,6.2,.565,.617,2.5,2.7,.926,0.3,2.1,2.4,3.2,0.7,0.1,1.3,1.8,15.2,,dosunay01
100,P.J. Washington,27,DAL,PF,13,13,31.2,5.5,12.2,.449,1.3,4.3,.304,4.2,7.8,.529,.503,2.9,4.5,.644,1.2,6.4,7.5,2.3,0.9,1.2,2.8,2.2,15.2,,washipj01
101,Isaiah Joe,26,OKC,SG,9,0,25.8,4.4,10.3,.430,3.3,8.2,.405,1.1,2.1,.526,.591,2.6,2.9,.885,0.7,2.7,3.3,1.3,0.8,0.1,1.1,2.0,14.8,,joeis01
102,Aaron Wiggins,27,OKC,SG,9,5,27.6,5.7,12.3,.459,2.8,6.7,.417,2.9,5.7,.510,.572,0.7,1.0,.667,1.0,2.7,3.7,2.2,0.4,0.8,1.0,2.2,14.8,,wiggiaa01
103,Jeremiah Fears,19,NOP,PG,13,11,26.5,5.6,12.8,.437,1.2,3.3,.349,4.5,9.5,.468,.482,2.2,2.7,.829,0.8,2.2,3.1,2.9,1.8,0.1,2.5,2.2,14.6,,fearsje01
104,Brandon Miller,23,CHO,SF,2,2,20.0,5.0,12.5,.400,1.0,5.5,.182,4.0,7.0,.571,.440,3.5,5.0,.700,0.0,0.0,0.0,4.0,0.5,0.5,1.5,2.5,14.5,,millebr02
105,Jabari Smith Jr.,22,HOU,PF,11,11,33.0,5.4,11.7,.457,2.0,5.4,.373,3.4,6.4,.529,.543,1.7,2.1,.826,1.2,5.2,6.4,1.6,0.8,0.8,1.0,2.7,14.5,,smithja05
106,Walker Kessler,24,UTA,C,5,5,30.8,5.2,7.4,.703,1.2,1.6,.750,4.0,5.8,.690,.784,2.8,4.0,.700,4.6,6.2,10.8,3.0,1.4,1.8,3.2,4.4,14.4,,kesslwa01
107,Russell Westbrook,37,SAC,SF,14,8,28.5,5.1,11.6,.436,2.1,5.3,.405,2.9,6.4,.461,.528,2.1,3.1,.674,1.7,4.9,6.6,6.4,1.0,0.1,3.2,2.1,14.4,,westbru01
108,Donte DiVincenzo,29,MIN,SG,13,13,30.7,4.4,10.3,.425,2.9,7.8,.376,1.5,2.5,.576,.567,2.4,2.8,.861,0.9,2.9,3.8,3.5,1.1,0.5,1.5,2.4,14.1,,divindo01
109,Cedric Coward,22,MEM,SG,14,1,26.7,4.6,9.6,.478,1.6,4.4,.371,2.9,5.1,.569,.563,3.2,3.6,.900,1.6,4.4,6.1,3.0,0.9,0.4,1.2,2.0,14.0,,cowarce01
110,Dylan Harper,19,SAS,SG,6,0,23.3,5.3,10.7,.500,0.8,2.3,.357,4.5,8.3,.540,.539,2.5,3.0,.833,0.8,3.2,4.0,3.8,0.7,0.0,1.8,3.0,14.0,,harpedy01
111,Obi Toppin,27,IND,PF,3,0,27.3,5.0,12.0,.417,1.0,5.7,.176,4.0,6.3,.632,.458,3.0,3.0,1.000,1.0,5.7,6.7,1.7,1.0,0.0,2.0,2.3,14.0,,toppiob01
112,Kevin Huerter,27,CHI,SF,12,3,26.6,5.3,10.6,.496,1.4,4.7,.304,3.8,5.9,.648,.563,2.0,2.4,.828,0.8,3.5,4.3,2.9,1.0,1.0,1.7,2.7,13.9,,huertke01
113,Ausar Thompson,23,DET,SF,10,10,29.1,5.8,11.5,.504,0.4,1.3,.308,5.4,10.2,.529,.522,1.9,3.9,.487,2.0,4.6,6.6,3.4,1.8,0.7,1.4,2.9,13.9,,thompau01
114,Jonathan Kuminga,23,GSW,PF,13,12,27.7,5.0,10.5,.478,0.9,2.8,.324,4.1,7.6,.535,.522,2.8,3.7,.771,1.6,5.0,6.6,2.8,0.4,0.3,2.7,1.9,13.8,,kuminjo01
115,Devin Vassell,25,SAS,SG,13,13,33.1,5.0,12.3,.406,2.5,7.2,.340,2.5,5.1,.500,.506,1.4,1.8,.783,0.4,3.2,3.5,2.4,1.1,0.2,1.2,2.1,13.8,,vassede01
116,Tobias Harris,33,DET,PF,6,6,32.2,4.7,11.8,.394,1.3,4.7,.286,3.3,7.2,.465,.451,2.8,3.0,.944,0.8,5.2,6.0,2.8,0.8,0.2,1.3,3.0,13.5,,harrito02
117,Kyle Kuzma,30,MIL,PF,13,4,26.0,5.1,9.9,.512,0.9,3.3,.279,4.2,6.6,.628,.558,2.5,3.2,.780,0.6,3.8,4.4,1.7,0.8,0.6,1.3,2.5,13.5,,kuzmaky01
118,Sam Merrill,29,CLE,SG,11,7,25.7,4.3,9.6,.443,3.5,8.2,.422,0.8,1.5,.563,.623,1.4,1.5,.938,0.7,1.1,1.8,2.5,0.5,0.2,0.8,3.1,13.4,,merrisa01
119,Anfernee Simons,26,BOS,SG,14,0,24.4,4.7,11.6,.405,2.7,6.9,.396,2.0,4.8,.418,.521,1.3,1.4,.900,0.4,1.7,2.1,2.4,0.4,0.2,1.2,2.1,13.4,,simonan01
120,Tre Jones,26,CHI,PG,11,11,29.9,4.4,8.8,.495,0.5,1.5,.353,3.8,7.3,.525,.526,4.0,4.7,.846,0.8,3.2,4.0,5.5,2.1,0.2,1.6,2.0,13.3,,jonestr01
121,Moses Moody,23,GSW,SG,13,5,24.2,4.1,9.2,.442,3.0,6.6,.453,1.1,2.6,.412,.604,2.0,2.4,.839,0.5,2.3,2.8,1.5,0.9,0.8,1.2,1.8,13.2,,moodymo01
122,Malik Monk,27,SAC,SG,11,0,24.3,4.7,10.4,.456,2.0,4.5,.440,2.7,5.8,.469,.553,1.6,1.8,.900,0.3,1.3,1.5,2.1,0.9,0.5,1.0,1.7,13.1,,monkma01
123,Zach Edey,23,MEM,C,1,1,25.0,3.0,7.0,.429,0.0,1.0,.000,3.0,6.0,.500,.429,7.0,9.0,.778,2.0,5.0,7.0,0.0,2.0,2.0,1.0,4.0,13.0,,edeyza01
124,Darius Garland,26,CLE,PG,3,3,24.3,4.0,12.0,.333,2.3,6.3,.368,1.7,5.7,.294,.431,2.7,2.7,1.000,1.0,2.0,3.0,5.0,1.0,0.0,1.7,2.0,13.0,,garlada01
125,Max Christie,22,DAL,SG,14,11,30.6,4.4,9.3,.477,2.7,5.9,.458,1.7,3.4,.511,.623,1.3,1.7,.750,0.1,3.5,3.6,2.7,0.6,0.6,1.1,1.9,12.9,,chrisma02
126,Zaccharie Risacher,20,ATL,SF,12,12,24.8,5.1,10.7,.477,1.7,4.8,.345,3.4,5.8,.586,.555,1.1,1.6,.684,0.6,2.1,2.7,1.5,1.2,0.6,0.8,1.8,12.9,,risacza01
127,Isaiah Hartenstein,27,OKC,C,14,14,28.6,5.6,8.1,.690,0.0,0.2,.000,5.6,7.9,.709,.690,1.6,2.4,.667,3.4,7.8,11.2,3.1,1.3,0.6,2.1,3.0,12.7,,harteis01
128,Santi Aldama,25,MEM,PF,14,0,25.6,4.9,10.6,.463,1.4,4.6,.313,3.5,6.1,.576,.530,1.4,2.4,.576,1.6,5.3,6.9,2.5,1.1,0.6,1.3,1.6,12.6,,aldamsa01
129,Reed Sheppard,21,HOU,PG,12,0,22.9,4.7,9.5,.491,2.8,5.8,.478,1.9,3.8,.511,.636,0.5,0.8,.667,0.3,2.4,2.7,3.1,1.6,0.3,1.3,2.0,12.6,,sheppre01
130,Duncan Robinson,31,DET,SF,13,13,32.2,4.2,9.2,.454,3.0,6.9,.433,1.2,2.2,.517,.618,1.2,1.6,.762,0.4,2.5,2.8,1.8,0.8,0.4,0.6,2.8,12.5,,robindu01
131,Jalen Suggs,24,ORL,PG,10,10,22.1,4.2,7.8,.538,1.8,4.5,.400,2.4,3.3,.727,.654,2.3,2.6,.885,0.7,3.2,3.9,4.4,1.6,0.3,3.0,3.5,12.5,,suggsja01
132,Saddiq Bey,26,NOP,SF,13,7,27.5,4.4,10.2,.429,2.2,5.4,.400,2.2,4.8,.460,.534,1.5,2.1,.704,1.8,3.0,4.8,2.0,0.8,0.0,0.7,1.0,12.4,,beysa01
133,Wendell Carter Jr.,26,ORL,C,14,14,29.9,4.1,7.9,.527,1.3,2.9,.450,2.9,5.0,.571,.609,2.9,3.6,.784,3.0,4.4,7.4,1.8,0.6,0.9,2.1,4.1,12.4,,cartewe01
134,Toumani Camara,25,POR,PF,13,13,34.6,4.5,11.1,.410,2.1,6.6,.314,2.5,4.5,.552,.503,1.2,1.6,.714,1.9,3.3,5.2,2.9,1.1,0.5,2.0,3.2,12.3,,camarto01
135,Dennis Schröder,32,SAC,PG,14,12,30.4,4.6,11.6,.401,1.6,4.6,.344,3.1,7.0,.439,.469,1.4,1.9,.769,0.3,3.4,3.6,5.9,1.1,0.2,1.9,1.9,12.3,,schrode01
136,D'Angelo Russell,29,DAL,PG,14,3,22.0,4.1,10.9,.382,1.2,5.0,.243,2.9,5.9,.500,.438,2.7,3.9,.704,0.4,2.4,2.9,4.9,0.6,0.1,2.2,1.3,12.2,,russeda01
137,Harrison Barnes,33,SAS,PF,13,13,29.7,4.0,7.4,.542,2.5,5.1,.485,1.5,2.3,.667,.708,1.6,1.8,.913,0.6,2.2,2.8,2.1,1.1,0.3,1.5,1.8,12.1,,barneha02
138,Myles Turner,29,MIL,C,14,14,29.4,4.2,9.6,.440,2.3,5.6,.410,1.9,4.0,.482,.560,1.4,2.1,.690,1.2,5.0,6.2,1.9,1.1,1.8,1.4,2.8,12.1,,turnemy01
139,John Collins,28,LAC,PF,13,4,25.2,4.8,9.3,.512,0.9,2.8,.333,3.8,6.5,.588,.562,1.5,2.0,.769,1.4,3.2,4.6,0.7,0.9,0.5,2.0,2.2,12.0,,collijo01
140,Tim Hardaway Jr.,33,DEN,SG,12,1,23.3,3.9,8.2,.480,2.8,5.6,.493,1.2,2.6,.452,.648,1.4,1.5,.944,0.3,1.7,1.9,1.6,0.4,0.1,0.3,1.3,12.0,,hardati02
141,Brandin Podziemski,22,GSW,SG,15,7,28.4,4.3,9.5,.455,1.9,4.9,.384,2.5,4.7,.529,.552,1.4,1.9,.750,0.4,4.1,4.5,3.1,1.3,0.3,1.3,2.3,11.9,,podzibr01
142,Quenton Jackson,27,IND,PG,5,3,20.2,4.0,7.4,.541,1.2,2.4,.500,2.8,5.0,.560,.622,2.6,3.6,.722,1.0,2.4,3.4,3.6,1.0,0.2,1.2,2.0,11.8,,jacksqu01
143,Tristan Da Silva,24,ORL,SF,14,2,23.1,4.1,8.5,.487,2.0,4.9,.406,2.1,3.6,.600,.605,1.4,1.7,.792,0.9,2.9,3.9,1.0,0.9,0.2,0.9,0.9,11.6,,dasiltr01
144,Tari Eason,24,HOU,PF,11,1,23.2,4.3,8.6,.495,2.5,4.8,.509,1.8,3.8,.476,.637,0.5,0.6,.714,1.5,3.7,5.2,1.6,0.8,0.5,1.7,1.6,11.5,,easonta01
145,Tre Johnson,19,WAS,SG,13,4,25.2,4.3,10.2,.424,1.9,5.2,.373,2.4,5.0,.477,.519,0.9,1.1,.857,0.5,2.7,3.2,1.4,0.3,0.5,1.5,1.9,11.5,,johnstr03
146,Naji Marshall,28,DAL,SF,14,1,26.5,3.6,7.7,.472,0.8,2.7,.289,2.9,5.0,.571,.523,3.4,4.2,.814,0.9,4.1,4.9,2.4,1.3,0.0,0.9,2.2,11.5,,marshna01
147,Royce O'Neale,32,PHO,SF,14,10,29.5,4.0,9.0,.444,3.2,7.4,.437,0.8,1.6,.478,.623,0.3,0.4,.667,1.1,4.4,5.5,3.1,1.2,0.1,1.5,2.6,11.5,,onealro01
148,Naz Reid,26,MIN,C,13,0,24.3,4.4,10.0,.438,1.8,5.3,.348,2.5,4.7,.541,.531,0.9,1.5,.632,1.2,4.4,5.6,2.1,1.0,0.9,1.4,2.8,11.5,,reidna01
149,Christian Braun,24,DEN,SG,11,11,29.5,4.4,8.8,.495,0.5,2.5,.214,3.8,6.3,.609,.526,2.1,2.6,.793,1.6,2.7,4.4,3.0,0.8,0.3,1.3,2.2,11.4,,braunch01
150,Mark Williams,24,PHO,C,12,9,25.4,4.5,7.3,.614,0.0,0.0,,4.5,7.3,.614,.614,2.4,3.1,.784,2.8,5.6,8.4,0.9,1.3,0.9,0.8,2.8,11.4,,willima07
151,Simone Fontecchio,30,MIA,SF,13,0,18.9,3.7,7.4,.500,2.5,5.2,.493,1.2,2.2,.517,.672,1.4,1.6,.857,0.5,2.0,2.5,1.0,0.5,0.2,0.9,2.2,11.3,,fontesi01
152,Anthony Black,22,ORL,PG,14,3,26.4,4.1,8.8,.463,1.1,3.5,.306,3.0,5.3,.568,.524,1.9,2.7,.684,0.5,2.5,3.0,2.4,1.1,0.7,2.1,2.5,11.1,,blackan01
153,Keldon Johnson,26,SAS,SF,13,0,23.2,4.5,8.0,.558,0.5,2.2,.250,3.9,5.8,.671,.591,1.6,2.0,.808,2.4,3.8,6.2,1.7,0.8,0.1,0.7,1.9,11.1,,johnske04
154,Vit Krejci,25,ATL,PG,10,0,21.1,3.9,7.2,.542,2.6,5.4,.481,1.3,1.8,.722,.722,0.7,1.0,.700,0.3,2.1,2.4,1.8,0.5,0.3,0.6,2.5,11.1,,krejcvi01
155,Jakob Poeltl,30,TOR,C,9,9,24.7,4.6,6.4,.707,0.0,0.0,,4.6,6.4,.707,.707,2.0,3.7,.545,3.0,4.3,7.3,1.8,0.7,0.7,1.2,3.7,11.1,,poeltja01
156,Jaylon Tyson,23,CLE,SG,11,7,25.8,4.0,8.2,.489,2.2,4.7,.462,1.8,3.5,.526,.622,0.9,1.2,.769,1.4,2.6,4.0,1.8,1.3,0.8,1.0,3.8,11.1,,tysonja01
157,Isaiah Collier,21,UTA,PG,5,1,26.2,3.6,6.0,.600,0.4,1.0,.400,3.2,5.0,.640,.633,3.4,4.8,.708,0.0,3.6,3.6,7.4,0.4,0.4,2.4,3.2,11.0,,colliis01
158,Isaiah Stewart,24,DET,C,10,3,23.0,4.2,8.5,.494,1.2,3.1,.387,3.0,5.4,.556,.565,1.4,2.1,.667,2.3,4.4,6.7,1.5,0.2,1.9,1.0,2.9,11.0,,stewais01
159,A.J. Green,26,MIL,SG,14,14,27.3,3.4,6.9,.490,3.0,6.4,.472,0.4,0.5,.714,.708,1.1,1.4,.789,0.1,2.4,2.4,1.7,0.4,0.1,0.8,3.2,10.8,,greenaj01
160,Kel'el Ware,21,MIA,C,13,10,24.0,4.2,8.1,.524,1.0,2.7,.371,3.2,5.4,.600,.586,1.4,1.8,.750,2.6,6.6,9.2,0.7,1.0,1.4,1.0,1.9,10.8,,wareke01
161,Daniel Gafford,27,DAL,C,9,9,23.0,4.1,6.2,.661,0.0,0.0,,4.1,6.2,.661,.661,2.4,3.0,.815,2.2,3.7,5.9,1.1,0.9,1.7,1.1,2.8,10.7,,gaffoda01
162,Tre Mann,24,CHO,PG,13,1,22.7,4.0,11.2,.359,1.7,5.5,.310,2.3,5.7,.405,.434,0.9,1.0,.923,0.8,2.5,3.3,3.3,0.6,0.2,2.1,2.3,10.6,,manntr01
163,Brandon Williams,26,DAL,PG,12,4,20.6,3.8,8.6,.447,0.3,2.3,.143,3.5,6.3,.560,.466,2.6,3.4,.756,0.5,1.9,2.4,3.3,1.8,0.1,1.8,1.6,10.6,,willibr03
164,Moussa Diabaté,24,CHO,C,13,1,23.1,3.8,5.8,.667,0.0,0.0,,3.8,5.8,.667,.667,2.8,3.9,.706,4.1,3.9,8.0,1.0,0.7,1.3,0.8,2.5,10.5,,diabamo01
165,Derrick Jones Jr.,28,LAC,SF,13,13,24.9,3.8,7.1,.533,1.2,3.5,.348,2.5,3.5,.717,.620,1.7,2.2,.786,0.8,1.5,2.4,1.1,0.8,1.2,0.8,2.0,10.5,,jonesde02
166,Derik Queen,21,NOP,C,13,1,22.3,3.9,8.1,.486,0.1,0.8,.100,3.8,7.3,.526,.490,2.5,3.3,.767,1.6,4.5,6.1,2.6,0.9,0.7,2.0,3.0,10.5,,queende01
167,Rudy Gobert,33,MIN,C,13,13,31.5,4.5,5.8,.763,0.0,0.0,,4.5,5.8,.763,.763,1.5,3.0,.487,2.8,6.8,9.6,1.3,0.5,1.8,1.7,3.1,10.4,,goberru01
168,Jordan Clarkson,33,NYK,SG,12,0,17.3,3.6,7.7,.467,1.6,4.1,.388,2.0,3.6,.558,.571,1.6,1.8,.864,0.9,0.8,1.8,1.6,0.3,0.2,0.9,1.9,10.3,,clarkjo01
169,Jock Landale,30,MEM,C,14,13,24.4,4.0,7.4,.544,1.1,2.5,.457,2.9,4.9,.588,.621,1.1,1.6,.696,2.2,3.2,5.4,1.7,0.6,0.4,1.1,3.0,10.3,,landajo01
170,Ryan Kalkbrenner,24,CHO,C,12,12,26.5,4.5,5.5,.818,0.0,0.1,.000,4.5,5.4,.831,.818,1.2,1.4,.824,3.4,3.4,6.8,0.4,1.0,2.3,1.7,2.3,10.2,,kalkbry01
171,Luke Kornet,30,SAS,C,6,1,23.0,4.2,5.2,.806,0.0,0.0,,4.2,5.2,.806,.806,1.8,2.7,.688,3.2,3.3,6.5,1.8,0.0,1.2,0.7,2.0,10.2,,kornelu01
172,Jake LaRavia,24,LAL,PF,14,6,28.8,3.7,7.8,.477,1.1,3.2,.333,2.6,4.6,.578,.546,1.7,2.6,.667,1.4,3.1,4.5,2.4,1.5,0.3,1.3,2.6,10.2,,laravja01
173,Marcus Smart,31,LAL,SG,11,9,29.2,3.2,7.9,.402,1.1,4.7,.231,2.1,3.2,.657,.471,2.7,2.9,.938,0.5,1.8,2.4,3.4,2.2,0.2,2.4,3.0,10.2,,smartma01
174,Jarace Walker,22,IND,PF,13,8,29.2,3.3,11.3,.293,1.4,5.4,.257,1.9,5.9,.325,.354,2.2,2.6,.824,0.7,4.7,5.4,3.2,0.5,0.5,2.2,2.1,10.2,,walkeja02
175,Herbert Jones,27,NOP,SF,13,13,30.5,3.7,8.8,.417,1.7,4.5,.373,2.0,4.3,.464,.513,1.0,1.5,.684,0.9,2.7,3.6,2.4,1.4,0.2,1.6,3.5,10.1,,joneshe01
176,Gary Trent Jr.,27,MIL,SG,14,12,27.4,3.4,8.8,.390,2.3,6.1,.372,1.1,2.6,.432,.520,0.9,1.3,.722,0.1,1.5,1.6,2.1,1.1,0.1,0.6,2.1,10.1,,trentga02
177,Davion Mitchell,27,MIA,PG,13,13,30.6,4.0,8.1,.495,1.2,3.0,.385,2.8,5.1,.561,.567,0.8,1.5,.579,0.5,2.4,2.8,7.6,1.5,0.1,1.7,3.2,10.0,,mitchda01
178,Pete Nance,25,MIL,PF,1,0,4.0,4.0,5.0,.800,2.0,3.0,.667,2.0,2.0,1.000,1.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,,nancepe01
179,Kevin Porter Jr.,25,MIL,PG,1,1,9.0,3.0,5.0,.600,2.0,3.0,.667,1.0,2.0,.500,.800,2.0,2.0,1.000,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,10.0,,porteke02
180,Landry Shamet,28,NYK,SG,12,3,20.8,3.1,6.3,.487,2.1,4.7,.446,1.0,1.7,.600,.651,1.8,2.1,.840,0.5,1.5,2.0,0.9,0.4,0.1,0.5,1.3,10.0,,shamela01
181,Ziaire Williams,24,BRK,SF,11,0,22.8,3.1,7.8,.395,1.8,5.8,.313,1.3,2.0,.636,.512,2.0,2.4,.846,0.7,1.8,2.5,0.5,0.9,0.5,0.8,2.5,10.0,,willizi02
182,Collin Gillespie,26,PHO,PG,14,0,24.1,3.4,8.7,.385,2.3,5.9,.386,1.1,2.8,.385,.516,0.9,1.2,.765,1.1,3.1,4.1,5.1,1.0,0.4,1.4,1.3,9.9,,gilleco01
